pl_name,soltype,pl_controv_flag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_masse,pl_masseerr1,pl_masseerr2,pl_masselim
CoRoT-5 b,Published Confirmed,0,4.0378962,0.0000019,-0.0000019,0,151.92274,11.12405,-11.12405,0
CoRoT-5 b,Published Confirmed,0,4.0379156,0.0000012,-0.0000012,0,145.88397,16.84499,-10.17056,0
CoRoT-5 b,Published Confirmed,0,4.0378962,0.0000019,-0.0000019,0,149.3801,18.43414,-10.17056,0
CoRoT-6 b,Published Confirmed,0,8.886593,0.000004,-0.000004,0,940.74,108.06,-108.06,0
CoRoT-6 b,Published Confirmed,0,8.886593,0.00004,-0.00004,0,937.5985,88.9924,-88.9924,0
CoRoT-6 b,Published Confirmed,0,8.886593,0.000004,-0.000004,0,940.7768,108.0622,-108.0622,0
CoRoT-7 b,Published Confirmed,0,0.853585,0.000024,-0.000024,0,4.8,0.8,-0.8,0
CoRoT-7 b,Published Confirmed,0,0.854,,,0,4.6,1.1,-1.2,0
CoRoT-7 b,Published Confirmed,0,0.85359163,0.00000001,-0.00000001,0,4.07661,1.01982,-1.01982,0
CoRoT-7 b,Published Confirmed,0,0.85359165,0.00000005,-0.00000005,0,4.73,0.95,-0.95,0
CoRoT-7 b,Published Confirmed,0,0.853585,0.000024,-0.000024,0,6.99226,1.58915,-1.58915,0
CoRoT-7 b,Published Confirmed,0,0.85359159,0.00000057,-0.00000057,0,5.74,0.86,-0.86,0
CoRoT-7 b,Published Confirmed,0,0.853585,0.000024,-0.000024,0,21,,,1
CoRoT-7 c,Published Confirmed,0,3.698,0.003,-0.003,0,8.4,0.9,-0.9,0
CoRoT-7 c,Published Confirmed,0,3.7,0.02,-0.02,0,13.56,1.08,-1.08,0
CoRoT-8 b,Published Confirmed,0,6.21229,0.00003,-0.00003,0,69.92,9.53,-9.53,0
CoRoT-8 b,Published Confirmed,0,6.212381,0.000057,-0.000057,0,69.28694,10.48839,-13.03103,0
CoRoT-8 b,Published Confirmed,0,6.212445,0.000007,-0.000007,0,69.28694,10.80622,-10.80622,0
CoRoT-8 b,Published Confirmed,0,6.21229,0.00003,-0.00003,0,68.65128,11.44188,-11.44188,0
CoRoT-9 b,Published Confirmed,0,95.2738,0.0014,-0.0014,0,266.97,22.25,-22.25,0
CoRoT-9 b,Published Confirmed,0,95.2738,0.0014,-0.0014,0,262.52758,26.37989,-26.37989,0
CoRoT-9 b,Published Confirmed,0,95.272656,0.000068,-0.000068,0,268.88418,17.79848,-18.11631,0
