pl_name,hostname,sy_snum,sy_pnum,pl_controv_flag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim
HD 108236 f,HD 108236,1,5,0,29.54115000,0.00033000,-0.00042000,0,2.017,0.052,-0.057,0,4.72000,,,0,0.88,0.01,-0.01,0,0.87,0.05,-0.05,0
HD 136352 b,HD 136352,1,3,0,11.57797000,0.00008000,-0.00013000,0,1.664,0.043,-0.043,0,4.72000,0.42000,-0.42000,0,1.06,0.02,-0.02,0,0.87,0.04,-0.04,0
HD 136352 c,HD 136352,1,3,0,27.59221000,0.00011000,-0.00011000,0,2.916,0.075,-0.073,0,11.24000,0.65000,-0.63000,0,1.06,0.02,-0.02,0,0.87,0.04,-0.04,0
HD 136352 d,HD 136352,1,3,0,107.24500000,0.05000000,-0.05000000,0,2.562,0.088,-0.079,0,8.82000,0.93000,-0.92000,0,1.06,0.02,-0.02,0,0.87,0.04,-0.04,0
HD 215497 c,HD 215497,1,2,0,567.94000000,2.70000000,-2.70000000,0,12.500,,,0,104.30000,,,0,0.90,0.03,-0.02,0,0.87,0.02,-0.02,0
HD 65216 b,HD 65216,3,2,0,577.60000000,1.32800000,-1.32800000,0,13.600,,,0,411.58985,19.70546,-19.70546,0,0.88,0.01,-0.01,0,0.87,,,0
HD 65216 c,HD 65216,3,2,0,5370.00000000,20.00000000,-20.00000000,0,13.400,,,0,645.19490,34.96130,-34.96130,0,0.89,0.06,-0.04,0,0.87,,,0
HIP 109600 b,HIP 109600,2,1,0,232.08000000,0.15000000,-0.15000000,0,13.200,,,0,851.78440,38.13960,-38.13960,0,0.97,0.03,-0.03,0,0.87,0.06,-0.06,0
K2-229 b,K2-229,1,2,0,0.58421600,0.00002200,-0.00002200,0,1.000,0.020,-0.020,0,2.49000,0.42000,-0.43000,0,0.79,0.01,-0.01,0,0.87,0.01,-0.01,0
K2-229 c,K2-229,1,2,0,8.32727000,0.00041000,-0.00043000,0,2.030,0.120,-0.060,0,21.30000,,,1,0.79,0.01,-0.01,0,0.87,0.01,-0.01,0
K2-246 b,K2-246,1,1,0,5.76918000,0.00081000,-0.00082000,0,3.490,0.250,-0.210,0,12.00000,,,0,0.94,0.03,-0.03,0,0.87,0.02,-0.02,0
K2-27 b,K2-27,3,1,0,6.77131500,0.00008500,-0.00008500,0,4.480,0.230,-0.230,0,30.90000,4.60000,-4.60000,0,0.89,0.04,-0.04,0,0.87,0.03,-0.02,0
K2-353 b,K2-353,1,1,0,15.46680500,0.00057200,-0.00056500,0,5.550,0.220,-0.200,0,26.30000,,,0,0.99,0.03,-0.03,0,0.87,0.02,-0.02,0
K2-65 b,K2-65,1,1,0,12.64750000,0.00130000,-0.00130000,0,1.580,0.380,-0.380,0,3.12000,,,0,0.84,0.12,-0.12,0,0.87,0.10,-0.10,0
Kepler-1020 b,Kepler-1020,1,1,0,96.91514960,0.00036320,-0.00036320,0,2.280,0.080,-0.090,0,5.82000,,,0,0.80,0.02,-0.02,0,0.87,0.03,-0.03,0
Kepler-1038 b,Kepler-1038,1,2,0,148.46033820,0.00068940,-0.00068940,0,3.530,0.520,-0.390,0,12.20000,,,0,0.83,0.09,-0.06,0,0.87,0.07,-0.06,0
Kepler-1038 c,Kepler-1038,1,2,0,7.12765980,,,0,1.416,,,0,2.59000,,,0,0.82,0.06,-0.04,0,0.87,0.04,-0.05,0
Kepler-1090 c,Kepler-1090,1,2,0,42.42720032,,,0,3.293,,,0,10.90000,,,0,1.01,0.16,-0.13,0,0.87,0.07,-0.04,0
Kepler-1114 b,Kepler-1114,1,1,0,14.97435694,0.00005221,-0.00005221,0,1.350,0.080,-0.070,0,2.39000,,,0,0.83,0.04,-0.03,0,0.87,0.04,-0.04,0
Kepler-1132 b,Kepler-1132,1,1,0,62.89162280,0.00045230,-0.00045230,0,2.350,0.190,-0.170,0,6.12000,,,0,0.83,0.06,-0.05,0,0.87,0.04,-0.05,0
Kepler-1168 b,Kepler-1168,1,1,0,55.82265390,0.00038710,-0.00038710,0,2.500,0.180,-0.130,0,6.80000,,,0,0.82,0.04,-0.04,0,0.87,0.04,-0.04,0
Kepler-1221 b,Kepler-1221,1,1,0,12.00096042,0.00005761,-0.00005761,0,1.880,0.300,-0.160,0,4.19000,,,0,0.82,0.05,-0.03,0,0.87,0.04,-0.04,0
Kepler-1281 b,Kepler-1281,1,1,0,3.11602791,0.00001300,-0.00001300,0,1.640,0.130,-0.140,0,3.33000,,,0,0.83,0.06,-0.05,0,0.87,0.04,-0.05,0
Kepler-1296 b,Kepler-1296,1,1,0,8.38398650,0.00008648,-0.00008648,0,0.910,0.090,-0.060,0,0.69300,,,0,0.83,0.07,-0.05,0,0.87,0.04,-0.05,0
Kepler-1371 b,Kepler-1371,1,2,0,3.44620390,0.00002017,-0.00002017,0,0.730,0.080,-0.050,0,0.31500,,,0,0.83,0.07,-0.06,0,0.87,0.04,-0.05,0
Kepler-1371 c,Kepler-1371,1,2,0,2.00541269,0.00001065,-0.00001065,0,0.640,0.070,-0.050,0,0.19600,,,0,0.83,0.07,-0.06,0,0.87,0.04,-0.05,0
Kepler-151 b,Kepler-151,1,2,0,15.22895800,0.00003000,-0.00003000,0,3.060,1.530,-1.530,0,9.59000,,,0,0.83,0.41,-0.41,0,0.87,0.04,-0.05,0
Kepler-151 c,Kepler-151,1,2,0,24.67461200,0.00010600,-0.00010600,0,2.090,1.040,-1.040,0,5.02000,,,0,0.83,0.41,-0.41,0,0.87,0.04,-0.05,0
Kepler-1627 b,Kepler-1627,1,1,0,7.20283653,0.00008773,-0.00008773,0,3.690,0.490,-0.410,0,13.20000,,,0,0.84,0.09,-0.07,0,0.87,0.05,-0.06,0
Kepler-1671 b,Kepler-1671,1,1,0,4.16787000,,,0,1.326,,,0,2.32000,,,0,0.93,0.06,-0.06,0,0.87,0.13,-0.09,0
Kepler-1692 b,Kepler-1692,1,1,0,5.95966000,,,0,1.112,,,0,1.42000,,,0,0.87,,,0,0.87,,,0
Kepler-1701 b,Kepler-1701,1,1,0,169.13400000,,,0,2.222,,,0,5.57000,,,0,0.84,,,0,0.87,,,0
Kepler-176 e,Kepler-176,1,4,0,51.16579000,0.00064320,-0.00064320,0,1.450,0.120,-0.150,0,2.70000,,,0,0.83,0.07,-0.05,0,0.87,0.04,-0.05,0
Kepler-1780 b,Kepler-1780,1,1,0,109.44499970,,,0,3.606,,,0,12.70000,,,0,0.87,0.08,-0.06,0,0.87,0.05,-0.05,0
Kepler-1829 b,Kepler-1829,1,1,0,5.18671989,,,0,2.479,,,0,6.71000,,,0,0.78,0.12,-0.06,0,0.87,0.06,-0.10,0
Kepler-1857 b,Kepler-1857,1,1,0,8.94340992,,,0,1.961,,,0,4.50000,,,0,1.01,0.27,-0.18,0,0.87,0.11,-0.08,0
Kepler-1860 b,Kepler-1860,1,1,0,12.73719978,,,0,1.139,,,0,1.55000,,,0,0.87,0.09,-0.05,0,0.87,0.06,-0.05,0
Kepler-1891 b,Kepler-1891,1,1,0,4.02229023,,,0,1.521,,,0,2.93000,,,0,0.83,0.19,-0.08,0,0.87,0.09,-0.09,0
Kepler-1919 b,Kepler-1919,1,1,0,37.88660049,,,0,2.624,,,0,7.38000,,,0,0.82,0.19,-0.08,0,0.87,0.09,-0.09,0
Kepler-1961 b,Kepler-1961,1,1,0,5.60471010,,,0,1.619,,,0,3.25000,,,0,0.78,0.13,-0.07,0,0.87,0.07,-0.10,0
Kepler-255 b,Kepler-255,1,3,0,5.71460600,0.00005200,-0.00005200,0,1.550,0.620,-0.620,0,3.02000,,,0,0.93,0.37,-0.37,0,0.87,0.06,-0.03,0
Kepler-255 c,Kepler-255,1,3,0,9.94604700,0.00003500,-0.00003500,0,2.990,1.180,-1.180,0,9.22000,,,0,0.93,0.37,-0.37,0,0.87,0.06,-0.03,0
Kepler-324 b,Kepler-324,1,4,0,4.38531500,0.00002500,-0.00002500,0,1.140,0.110,-0.110,0,1.55000,,,0,0.84,0.07,-0.07,0,0.87,0.03,-0.03,0
Kepler-324 c,Kepler-324,1,4,0,51.80561200,0.00031400,-0.00031400,0,3.150,0.330,-0.330,0,10.10000,,,0,0.84,0.07,-0.07,0,0.87,0.03,-0.03,0
Kepler-37 b,Kepler-37,1,4,0,13.36731000,0.00007100,-0.00007100,0,0.296,0.037,-0.037,0,3.17830,3.17830,-3.17830,0,0.79,0.03,-0.03,0,0.87,0.15,-0.15,0
Kepler-411 b,Kepler-411,2,4,0,3.00515600,0.00000200,-0.00000200,0,2.401,0.053,-0.053,0,25.60000,2.60000,-2.60000,0,0.82,0.02,-0.02,0,0.87,0.04,-0.04,0
Kepler-411 c,Kepler-411,2,4,0,7.83443500,0.00000200,-0.00000200,0,4.421,0.062,-0.062,0,26.40000,5.90000,-5.90000,0,0.82,0.02,-0.02,0,0.87,0.04,-0.04,0
Kepler-411 d,Kepler-411,2,4,0,58.02035000,0.00056000,-0.00056000,0,3.319,0.104,-0.104,0,15.20000,5.10000,-5.10000,0,0.82,0.02,-0.02,0,0.87,0.04,-0.04,0
Kepler-411 e,Kepler-411,2,4,0,31.50972800,0.00008500,-0.00008500,0,3.280,,,0,10.80000,1.10000,-1.10000,0,0.82,0.02,-0.02,0,0.87,0.04,-0.04,0
Kepler-428 b,Kepler-428,1,1,0,3.52563254,0.00000015,-0.00000015,0,12.110,0.340,-0.340,0,403.63000,60.39000,-60.39000,0,0.80,0.02,-0.02,0,0.87,0.05,-0.05,0
