pl_name,soltype,pl_controv_flag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_masse,pl_masseerr1,pl_masseerr2,pl_masselim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_age,st_ageerr1,st_ageerr2,st_agelim
WTS-2 b,Published Confirmed,0,1.0187068,0.00000065,-0.00000065,0,355.9696,50.8528,-50.8528,0,0.75,0.03,-0.03,0,0.82,0.08,-0.08,0,0.6,,,-1
WTS-2 b,Published Confirmed,0,1.0187068,0.00000065,-0.00000065,0,403.6441,60.3877,-66.7443,0,0.75,0.03,-0.03,0,0.82,0.08,-0.08,0,7,6.5,-6.4,0
HD 128311 c,Published Confirmed,0,921.538,1.15,-1.15,0,1204.25787,293.67492,-137.30256,0,0.76,0.02,-0.02,0,0.83,0.01,-0.01,0,0.96,,,1
HD 95338 b,Published Confirmed,0,55.087,0.02,-0.02,0,42.44,2.22,-2.08,0,0.87,0.04,-0.04,0,0.83,0.02,-0.02,0,5.08,2.51,-2.51,0
K2-114 b,Published Confirmed,0,11.39109,0.00018,-0.00017,0,587.9855,73.1009,-69.9226,0,0.83,0.03,-0.02,0,0.83,0.02,-0.02,0,9.9,2.3,-3.2,0
K2-115 b,Published Confirmed,0,20.273034,0.000036,-0.000037,0,266.9772,57.2094,-63.566,0,0.88,0.05,-0.05,0,0.83,0.02,-0.02,0,10.7,1.7,-4.2,0
K2-285 b,Published Confirmed,0,3.471745,0.000044,-0.000046,0,9.68,1.21,-1.37,0,0.79,0.02,-0.02,0,0.83,0.02,-0.02,0,,,,
K2-285 c,Published Confirmed,0,7.138048,0.000072,-0.000063,0,15.68,2.28,-2.13,0,0.79,0.02,-0.02,0,0.83,0.02,-0.02,0,,,,
K2-285 d,Published Confirmed,0,10.45582,0.00025,-0.00023,0,6.5,,,1,0.79,0.02,-0.02,0,0.83,0.02,-0.02,0,,,,
K2-285 e,Published Confirmed,0,14.76289,0.00065,-0.00061,0,10.7,,,1,0.79,0.02,-0.02,0,0.83,0.02,-0.02,0,,,,
K2-32 b,Published Confirmed,0,8.992,0.00008,-0.00008,0,15,1.8,-1.7,0,0.86,0.02,-0.02,0,0.83,0.02,-0.02,0,,,,
K2-32 c,Published Confirmed,0,20.66093,0.0008,-0.00079,0,8.1,2.4,-2.4,0,0.86,0.02,-0.02,0,0.83,0.02,-0.02,0,,,,
K2-32 d,Published Confirmed,0,31.71701,0.00101,-0.00096,0,6.7,2.5,-2.5,0,0.86,0.02,-0.02,0,0.83,0.02,-0.02,0,,,,
K2-32 e,Published Confirmed,0,4.34934,0.00039,-0.00039,0,2.1,1.3,-1.1,0,0.86,0.02,-0.02,0,0.83,0.02,-0.02,0,,,,
Kepler-176 c,Published Confirmed,0,12.759,,,0,23,13.5,-8,0,0.88,,,0,0.83,,,0,,,,
Kepler-176 d,Published Confirmed,0,25.752,,,0,15.2,10.4,-5.8,0,0.88,,,0,0.83,,,0,,,,
OGLE-TR-111 b,Published Confirmed,0,4.0144479,0.0000041,-0.0000041,0,171.6282,31.783,-31.783,0,0.84,0.04,-0.04,0,0.83,0.06,-0.06,0,,,,
WASP-11 b,Published Confirmed,0,3.7224747,0.0000065,-0.0000065,0,154.777,5.721,-5.721,0,0.79,0.02,,0,0.83,0.03,,0,,,,
WASP-46 b,Published Confirmed,0,1.43036763,0.00000093,-0.00000093,0,607.0553,41.3179,-41.3179,0,0.86,0.03,-0.03,0,0.83,0.08,-0.08,0,9.6,3.7,-5.5,0
WASP-46 b,Published Confirmed,0,1.43037,0.0000023,-0.0000023,0,603.877,34.9613,-34.9613,0,0.86,0.02,-0.02,0,0.83,0.07,-0.07,0,9.6,3.4,-4.2,0
WASP-67 b,Published Confirmed,0,4.61,,,0,129.034,11.124,-11.124,0,0.82,0.02,-0.02,0,0.83,0.06,-0.06,0,8.7,13.8,-11.3,0
WASP-69 b,Published Confirmed,0,3.8681382,0.0000017,-0.0000017,0,82.632,5.403,-5.403,0,0.81,0.03,-0.03,0,0.83,0.03,-0.03,0,2,,,0
WASP-69 b,Published Confirmed,0,3.8681382,0.0000017,-0.0000017,0,79.4575,7.31009,-7.31009,0,0.81,0.03,-0.03,0,0.83,0.03,-0.03,0,7,7,-7,0
WASP-69 b,Published Confirmed,0,3.8681382,0.0000017,-0.0000017,0,82.6358,5.87986,-5.87986,0,0.81,0.03,-0.03,0,0.83,0.03,-0.03,0,,,,
