,times_rv_observed,rv_observed,rv_err_observed,times_rv_orbit,rv_orbit,rv_orbit_sum,times_astrometry_observed,ra_observed,dec_observed,ra_err_observed,dec_err_observed,times_astrometry_orbit,ra_orbit,ra_orbit_sum,dec_orbit,dec_orbit_sum
8711,,,,6435.402440244025,[-0.03828129  5.59558568],5.5573043832188995,,,,,,3104.9108910891086,[-3.14893511e-08 -3.62029605e-04],-0.00036206109473616466,[-2.96065746e-07 -2.19457325e-04],-0.00021975339069312165
8712,,,,6435.762376237624,[-0.03797445  5.59211864],5.554144193372114,,,,,,3105.267326732673,[-3.27802837e-08 -3.62197370e-04],-0.00036223015006180977,[-2.95816401e-07 -2.19316361e-04],-0.00021961217764533602
8713,,,,6436.122312231224,[-0.03766626  5.5886504 ],5.55098413616459,,,,,,3105.6237623762377,[-3.40699768e-08 -3.62365048e-04],-0.00036239911778422975,[-2.95555872e-07 -2.19175345e-04],-0.00021947090111790752
8714,,,,6436.482248224823,[-0.03735675  5.58518095],5.547824200765671,,,,,,3105.9801980198017,[-3.53583821e-08 -3.62532639e-04],-0.0003625679978116131,[-2.95284171e-07 -2.19034277e-04],-0.0002193295611556501
8715,,,,6436.842184218422,[-0.03704592  5.58171029],5.544664376310946,,,,,,3106.3366336633662,[-3.66454514e-08 -3.62700145e-04],-0.00036273679005224184,[-2.95001312e-07 -2.18893156e-04],-0.00021918815780380742
8716,,,,6437.202120212021,[-0.03673378  5.57823843],5.541504651902684,,,,,,3106.6930693069307,[-3.79311363e-08 -3.62867563e-04],-0.00036290549441449373,[-2.94707309e-07 -2.18751984e-04],-0.00021904669110805097
8717,,,,6437.562056205621,[-0.03642035  5.57476537],5.538345016610322,,,,,,3107.049504950495,[-3.92153888e-08 -3.63034895e-04],-0.0003630741108068416,[-2.94402177e-07 -2.18610759e-04],-0.0002189051611144813
8718,,,,6437.921992199221,[-0.03610564  5.5712911 ],5.535185459470842,,,,,,3107.4059405940593,[-4.04981608e-08 -3.63202141e-04],-0.00036324263913785934,[-2.94085930e-07 -2.18469482e-04],-0.00021876356786962306
8719,,,,6438.28192819282,[-0.03578966  5.56781563],5.532025969489103,,,,,,3107.762376237624,[-4.17794044e-08 -3.63369300e-04],-0.00036341107931621934,[-2.93758585e-07 -2.18328153e-04],-0.00021862191142042823
8720,,,,6438.641864186418,[-0.03547242  5.56433896],5.528866535638385,,,,,,3108.118811881188,[-4.30590717e-08 -3.63536372e-04],-0.00036357943125069607,[-2.93420156e-07 -2.18186772e-04],-0.00021848019181427316
8721,,,,6439.001800180018,[-0.03515394  5.56086108],5.525707146860722,,,,,,3108.4752475247524,[-4.43371149e-08 -3.63703358e-04],-0.00036374769485016974,[-2.93070659e-07 -2.18045338e-04],-0.00021833840909895517
8722,,,,6439.361736173618,[-0.03483422  5.55738201],5.522547792067321,,,,,,3108.831683168317,[-4.56134863e-08 -3.63870257e-04],-0.000363915870023624,[-2.92710113e-07 -2.17903853e-04],-0.00021819656332269555
8723,,,,6439.721672167218,[-0.03451328  5.55390174],5.519388460139012,,,,,,3109.188118811881,[-4.68881383e-08 -3.64037069e-04],-0.0003640839566801507,[-2.92338533e-07 -2.17762316e-04],-0.00021805465453413593
8724,,,,6440.081608160816,[-0.03419113  5.55042027],5.5162291399266286,,,,,,3109.5445544554455,[-4.81610235e-08 -3.64203794e-04],-0.00036425195472895096,[-2.91955936e-07 -2.17620727e-04],-0.0002179126827823373
8725,,,,6440.441544154415,[-0.03386779  5.54693761],5.513069820251363,,,,,,3109.90099009901,[-4.94320944e-08 -3.64370432e-04],-0.00036441986407933645,[-2.91562342e-07 -2.17479086e-04],-0.0002177706481167791
8726,,,,6440.801480148015,[-0.03354326  5.54345375],5.509910489905262,,,,,,3110.257425742574,[-5.07013037e-08 -3.64536983e-04],-0.0003645876846407304,[-2.91157767e-07 -2.17337393e-04],-0.0002176285505873596
8727,,,,6441.161416141615,[-0.03321755  5.53996869],5.5067511376515945,,,,,,3110.6138613861385,[-5.19686042e-08 -3.64703448e-04],-0.0003647554163226715,[-2.90742230e-07 -2.17195648e-04],-0.00021748639024439097
